Cases,Category,Country,Number of Records,Quality,Year
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/93 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/94 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/95 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/96 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/97 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/98 12:00:00 AM
,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/99 12:00:00 AM
5250,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/00 12:00:00 AM
3500,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/01 12:00:00 AM
2250,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/02 12:00:00 AM
1700,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/03 12:00:00 AM
1775,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/04 12:00:00 AM
1825,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/05 12:00:00 AM
2000,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/06 12:00:00 AM
1925,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/07 12:00:00 AM
2950,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/08 12:00:00 AM
5900,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/09 12:00:00 AM
10300,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/10 12:00:00 AM
17025,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/11 12:00:00 AM
22150,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/12 12:00:00 AM
24475,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/13 12:00:00 AM
39325,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/14 12:00:00 AM
35300,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/15 12:00:00 AM
22975,Irish Whiskey,DF Rest of Africa,1,Standard,1/1/16 12:00:00 AM
9000,Irish Whiskey,Finland,1,Standard,1/1/90 12:00:00 AM
8500,Irish Whiskey,Finland,1,Standard,1/1/91 12:00:00 AM
7500,Irish Whiskey,Finland,1,Standard,1/1/92 12:00:00 AM
6500,Irish Whiskey,Finland,1,Standard,1/1/93 12:00:00 AM
8650,Irish Whiskey,Finland,1,Standard,1/1/94 12:00:00 AM
10300,Irish Whiskey,Finland,1,Standard,1/1/95 12:00:00 AM
11750,Irish Whiskey,Finland,1,Standard,1/1/96 12:00:00 AM
13000,Irish Whiskey,Finland,1,Standard,1/1/97 12:00:00 AM
18250,Irish Whiskey,Finland,1,Standard,1/1/98 12:00:00 AM
19600,Irish Whiskey,Finland,1,Standard,1/1/99 12:00:00 AM
20800,Irish Whiskey,Finland,1,Standard,1/1/00 12:00:00 AM
23200,Irish Whiskey,Finland,1,Standard,1/1/01 12:00:00 AM
24900,Irish Whiskey,Finland,1,Standard,1/1/02 12:00:00 AM
22000,Irish Whiskey,Finland,1,Standard,1/1/03 12:00:00 AM
25000,Irish Whiskey,Finland,1,Standard,1/1/04 12:00:00 AM
24250,Irish Whiskey,Finland,1,Standard,1/1/05 12:00:00 AM
24500,Irish Whiskey,Finland,1,Standard,1/1/06 12:00:00 AM
27000,Irish Whiskey,Finland,1,Standard,1/1/07 12:00:00 AM
25000,Irish Whiskey,Finland,1,Standard,1/1/08 12:00:00 AM
24000,Irish Whiskey,Finland,1,Standard,1/1/09 12:00:00 AM
22150,Irish Whiskey,Finland,1,Standard,1/1/10 12:00:00 AM
22100,Irish Whiskey,Finland,1,Standard,1/1/11 12:00:00 AM
21250,Irish Whiskey,Finland,1,Standard,1/1/12 12:00:00 AM
21000,Irish Whiskey,Finland,1,Standard,1/1/13 12:00:00 AM
19750,Irish Whiskey,Finland,1,Standard,1/1/14 12:00:00 AM
22900,Irish Whiskey,Finland,1,Standard,1/1/15 12:00:00 AM
22000,Irish Whiskey,Finland,1,Standard,1/1/16 12:00:00 AM
1250,Irish Whiskey,Austria,1,Standard,1/1/90 12:00:00 AM
1250,Irish Whiskey,Austria,1,Standard,1/1/91 12:00:00 AM
1250,Irish Whiskey,Austria,1,Standard,1/1/92 12:00:00 AM
1000,Irish Whiskey,Austria,1,Standard,1/1/93 12:00:00 AM
3000,Irish Whiskey,Austria,1,Standard,1/1/94 12:00:00 AM
3250,Irish Whiskey,Austria,1,Standard,1/1/95 12:00:00 AM
3500,Irish Whiskey,Austria,1,Standard,1/1/96 12:00:00 AM
4500,Irish Whiskey,Austria,1,Standard,1/1/97 12:00:00 AM
4750,Irish Whiskey,Austria,1,Standard,1/1/98 12:00:00 AM
4800,Irish Whiskey,Austria,1,Standard,1/1/99 12:00:00 AM
5000,Irish Whiskey,Austria,1,Standard,1/1/00 12:00:00 AM
6250,Irish Whiskey,Austria,1,Standard,1/1/01 12:00:00 AM
6550,Irish Whiskey,Austria,1,Standard,1/1/02 12:00:00 AM
7570,Irish Whiskey,Austria,1,Standard,1/1/03 12:00:00 AM
7920,Irish Whiskey,Austria,1,Standard,1/1/04 12:00:00 AM
8100,Irish Whiskey,Austria,1,Standard,1/1/05 12:00:00 AM
9200,Irish Whiskey,Austria,1,Standard,1/1/06 12:00:00 AM
11600,Irish Whiskey,Austria,1,Standard,1/1/07 12:00:00 AM
12920,Irish Whiskey,Austria,1,Standard,1/1/08 12:00:00 AM
12850,Irish Whiskey,Austria,1,Standard,1/1/09 12:00:00 AM
13500,Irish Whiskey,Austria,1,Standard,1/1/10 12:00:00 AM
13750,Irish Whiskey,Austria,1,Standard,1/1/11 12:00:00 AM
16650,Irish Whiskey,Austria,1,Standard,1/1/12 12:00:00 AM
16500,Irish Whiskey,Austria,1,Standard,1/1/13 12:00:00 AM
17350,Irish Whiskey,Austria,1,Standard,1/1/14 12:00:00 AM
19000,Irish Whiskey,Austria,1,Standard,1/1/15 12:00:00 AM
21200,Irish Whiskey,Austria,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,Estonia,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,Estonia,1,Standard,1/1/91 12:00:00 AM
250,Irish Whiskey,Estonia,1,Standard,1/1/92 12:00:00 AM
500,Irish Whiskey,Estonia,1,Standard,1/1/93 12:00:00 AM
1250,Irish Whiskey,Estonia,1,Standard,1/1/94 12:00:00 AM
2250,Irish Whiskey,Estonia,1,Standard,1/1/95 12:00:00 AM
2600,Irish Whiskey,Estonia,1,Standard,1/1/96 12:00:00 AM
2900,Irish Whiskey,Estonia,1,Standard,1/1/97 12:00:00 AM
4700,Irish Whiskey,Estonia,1,Standard,1/1/98 12:00:00 AM
3500,Irish Whiskey,Estonia,1,Standard,1/1/99 12:00:00 AM
4450,Irish Whiskey,Estonia,1,Standard,1/1/00 12:00:00 AM
4560,Irish Whiskey,Estonia,1,Standard,1/1/01 12:00:00 AM
4270,Irish Whiskey,Estonia,1,Standard,1/1/02 12:00:00 AM
3840,Irish Whiskey,Estonia,1,Standard,1/1/03 12:00:00 AM
5980,Irish Whiskey,Estonia,1,Standard,1/1/04 12:00:00 AM
6490,Irish Whiskey,Estonia,1,Standard,1/1/05 12:00:00 AM
7760,Irish Whiskey,Estonia,1,Standard,1/1/06 12:00:00 AM
9350,Irish Whiskey,Estonia,1,Standard,1/1/07 12:00:00 AM
9300,Irish Whiskey,Estonia,1,Standard,1/1/08 12:00:00 AM
8200,Irish Whiskey,Estonia,1,Standard,1/1/09 12:00:00 AM
8400,Irish Whiskey,Estonia,1,Standard,1/1/10 12:00:00 AM
11600,Irish Whiskey,Estonia,1,Standard,1/1/11 12:00:00 AM
13990,Irish Whiskey,Estonia,1,Standard,1/1/12 12:00:00 AM
19550,Irish Whiskey,Estonia,1,Standard,1/1/13 12:00:00 AM
21430,Irish Whiskey,Estonia,1,Standard,1/1/14 12:00:00 AM
23050,Irish Whiskey,Estonia,1,Standard,1/1/15 12:00:00 AM
20950,Irish Whiskey,Estonia,1,Standard,1/1/16 12:00:00 AM
5000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/90 12:00:00 AM
5000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/91 12:00:00 AM
6000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/92 12:00:00 AM
6000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/93 12:00:00 AM
6000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/94 12:00:00 AM
7500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/95 12:00:00 AM
8000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/96 12:00:00 AM
10000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/97 12:00:00 AM
11250,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/98 12:00:00 AM
12550,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/99 12:00:00 AM
14850,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/00 12:00:00 AM
18000,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/01 12:00:00 AM
21100,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/02 12:00:00 AM
21500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/03 12:00:00 AM
21500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/04 12:00:00 AM
21500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/05 12:00:00 AM
23750,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/06 12:00:00 AM
21250,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/07 12:00:00 AM
22250,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/08 12:00:00 AM
22750,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/09 12:00:00 AM
21450,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/10 12:00:00 AM
22500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/11 12:00:00 AM
23500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/12 12:00:00 AM
24750,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/13 12:00:00 AM
23250,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/14 12:00:00 AM
23300,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/15 12:00:00 AM
20500,Irish Whiskey,Belgium and Luxembourg,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,Argentina,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,Argentina,1,Standard,1/1/91 12:00:00 AM
0,Irish Whiskey,Argentina,1,Standard,1/1/92 12:00:00 AM
0,Irish Whiskey,Argentina,1,Standard,1/1/93 12:00:00 AM
0,Irish Whiskey,Argentina,1,Standard,1/1/94 12:00:00 AM
0,Irish Whiskey,Argentina,1,Standard,1/1/95 12:00:00 AM
1750,Irish Whiskey,Argentina,1,Standard,1/1/96 12:00:00 AM
1750,Irish Whiskey,Argentina,1,Standard,1/1/97 12:00:00 AM
3000,Irish Whiskey,Argentina,1,Standard,1/1/98 12:00:00 AM
3500,Irish Whiskey,Argentina,1,Standard,1/1/99 12:00:00 AM
3500,Irish Whiskey,Argentina,1,Standard,1/1/00 12:00:00 AM
1750,Irish Whiskey,Argentina,1,Standard,1/1/01 12:00:00 AM
750,Irish Whiskey,Argentina,1,Standard,1/1/02 12:00:00 AM
750,Irish Whiskey,Argentina,1,Standard,1/1/03 12:00:00 AM
1250,Irish Whiskey,Argentina,1,Standard,1/1/04 12:00:00 AM
1250,Irish Whiskey,Argentina,1,Standard,1/1/05 12:00:00 AM
1500,Irish Whiskey,Argentina,1,Standard,1/1/06 12:00:00 AM
2250,Irish Whiskey,Argentina,1,Standard,1/1/07 12:00:00 AM
3000,Irish Whiskey,Argentina,1,Standard,1/1/08 12:00:00 AM
3500,Irish Whiskey,Argentina,1,Standard,1/1/09 12:00:00 AM
5750,Irish Whiskey,Argentina,1,Standard,1/1/10 12:00:00 AM
8500,Irish Whiskey,Argentina,1,Standard,1/1/11 12:00:00 AM
10050,Irish Whiskey,Argentina,1,Standard,1/1/12 12:00:00 AM
13150,Irish Whiskey,Argentina,1,Standard,1/1/13 12:00:00 AM
10600,Irish Whiskey,Argentina,1,Standard,1/1/14 12:00:00 AM
17850,Irish Whiskey,Argentina,1,Standard,1/1/15 12:00:00 AM
19050,Irish Whiskey,Argentina,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/93 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/94 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/95 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/96 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/97 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/98 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/99 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/00 12:00:00 AM
,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/01 12:00:00 AM
1000,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/02 12:00:00 AM
900,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/03 12:00:00 AM
900,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/04 12:00:00 AM
925,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/05 12:00:00 AM
1100,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/06 12:00:00 AM
1350,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/07 12:00:00 AM
1675,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/08 12:00:00 AM
2025,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/09 12:00:00 AM
4800,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/10 12:00:00 AM
8725,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/11 12:00:00 AM
10375,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/12 12:00:00 AM
18450,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/13 12:00:00 AM
19850,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/14 12:00:00 AM
18200,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/15 12:00:00 AM
18875,Irish Whiskey,DF Rest of CIS,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/93 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/94 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/95 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/96 12:00:00 AM
,Irish Whiskey,Romania,1,Standard,1/1/97 12:00:00 AM
250,Irish Whiskey,Romania,1,Standard,1/1/98 12:00:00 AM
1000,Irish Whiskey,Romania,1,Standard,1/1/99 12:00:00 AM
1000,Irish Whiskey,Romania,1,Standard,1/1/00 12:00:00 AM
1000,Irish Whiskey,Romania,1,Standard,1/1/01 12:00:00 AM
1750,Irish Whiskey,Romania,1,Standard,1/1/02 12:00:00 AM
1750,Irish Whiskey,Romania,1,Standard,1/1/03 12:00:00 AM
2150,Irish Whiskey,Romania,1,Standard,1/1/04 12:00:00 AM
3650,Irish Whiskey,Romania,1,Standard,1/1/05 12:00:00 AM
3900,Irish Whiskey,Romania,1,Standard,1/1/06 12:00:00 AM
3000,Irish Whiskey,Romania,1,Standard,1/1/07 12:00:00 AM
4900,Irish Whiskey,Romania,1,Standard,1/1/08 12:00:00 AM
3900,Irish Whiskey,Romania,1,Standard,1/1/09 12:00:00 AM
5000,Irish Whiskey,Romania,1,Standard,1/1/10 12:00:00 AM
5950,Irish Whiskey,Romania,1,Standard,1/1/11 12:00:00 AM
7960,Irish Whiskey,Romania,1,Standard,1/1/12 12:00:00 AM
9500,Irish Whiskey,Romania,1,Standard,1/1/13 12:00:00 AM
11800,Irish Whiskey,Romania,1,Standard,1/1/14 12:00:00 AM
13000,Irish Whiskey,Romania,1,Standard,1/1/15 12:00:00 AM
16950,Irish Whiskey,Romania,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/93 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/94 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/95 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/96 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/97 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/98 12:00:00 AM
,Irish Whiskey,DF Australia,1,Standard,1/1/99 12:00:00 AM
2200,Irish Whiskey,DF Australia,1,Standard,1/1/00 12:00:00 AM
2400,Irish Whiskey,DF Australia,1,Standard,1/1/01 12:00:00 AM
4500,Irish Whiskey,DF Australia,1,Standard,1/1/02 12:00:00 AM
5950,Irish Whiskey,DF Australia,1,Standard,1/1/03 12:00:00 AM
6500,Irish Whiskey,DF Australia,1,Standard,1/1/04 12:00:00 AM
5450,Irish Whiskey,DF Australia,1,Standard,1/1/05 12:00:00 AM
5750,Irish Whiskey,DF Australia,1,Standard,1/1/06 12:00:00 AM
7925,Irish Whiskey,DF Australia,1,Standard,1/1/07 12:00:00 AM
9200,Irish Whiskey,DF Australia,1,Standard,1/1/08 12:00:00 AM
9300,Irish Whiskey,DF Australia,1,Standard,1/1/09 12:00:00 AM
8500,Irish Whiskey,DF Australia,1,Standard,1/1/10 12:00:00 AM
10050,Irish Whiskey,DF Australia,1,Standard,1/1/11 12:00:00 AM
9800,Irish Whiskey,DF Australia,1,Standard,1/1/12 12:00:00 AM
11250,Irish Whiskey,DF Australia,1,Standard,1/1/13 12:00:00 AM
12000,Irish Whiskey,DF Australia,1,Standard,1/1/14 12:00:00 AM
14850,Irish Whiskey,DF Australia,1,Standard,1/1/15 12:00:00 AM
15700,Irish Whiskey,DF Australia,1,Standard,1/1/16 12:00:00 AM
300,Irish Whiskey,Hungary,1,Standard,1/1/90 12:00:00 AM
300,Irish Whiskey,Hungary,1,Standard,1/1/91 12:00:00 AM
250,Irish Whiskey,Hungary,1,Standard,1/1/92 12:00:00 AM
500,Irish Whiskey,Hungary,1,Standard,1/1/93 12:00:00 AM
1000,Irish Whiskey,Hungary,1,Standard,1/1/94 12:00:00 AM
1250,Irish Whiskey,Hungary,1,Standard,1/1/95 12:00:00 AM
2500,Irish Whiskey,Hungary,1,Standard,1/1/96 12:00:00 AM
3750,Irish Whiskey,Hungary,1,Standard,1/1/97 12:00:00 AM
5000,Irish Whiskey,Hungary,1,Standard,1/1/98 12:00:00 AM
5500,Irish Whiskey,Hungary,1,Standard,1/1/99 12:00:00 AM
6000,Irish Whiskey,Hungary,1,Standard,1/1/00 12:00:00 AM
5000,Irish Whiskey,Hungary,1,Standard,1/1/01 12:00:00 AM
5750,Irish Whiskey,Hungary,1,Standard,1/1/02 12:00:00 AM
6000,Irish Whiskey,Hungary,1,Standard,1/1/03 12:00:00 AM
6900,Irish Whiskey,Hungary,1,Standard,1/1/04 12:00:00 AM
7250,Irish Whiskey,Hungary,1,Standard,1/1/05 12:00:00 AM
8700,Irish Whiskey,Hungary,1,Standard,1/1/06 12:00:00 AM
10200,Irish Whiskey,Hungary,1,Standard,1/1/07 12:00:00 AM
10350,Irish Whiskey,Hungary,1,Standard,1/1/08 12:00:00 AM
8300,Irish Whiskey,Hungary,1,Standard,1/1/09 12:00:00 AM
9000,Irish Whiskey,Hungary,1,Standard,1/1/10 12:00:00 AM
9750,Irish Whiskey,Hungary,1,Standard,1/1/11 12:00:00 AM
10750,Irish Whiskey,Hungary,1,Standard,1/1/12 12:00:00 AM
10700,Irish Whiskey,Hungary,1,Standard,1/1/13 12:00:00 AM
13000,Irish Whiskey,Hungary,1,Standard,1/1/14 12:00:00 AM
14250,Irish Whiskey,Hungary,1,Standard,1/1/15 12:00:00 AM
15390,Irish Whiskey,Hungary,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,DF Spain,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,DF Spain,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,DF Spain,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,DF Spain,1,Standard,1/1/93 12:00:00 AM
3250,Irish Whiskey,DF Spain,1,Standard,1/1/94 12:00:00 AM
4900,Irish Whiskey,DF Spain,1,Standard,1/1/95 12:00:00 AM
6150,Irish Whiskey,DF Spain,1,Standard,1/1/96 12:00:00 AM
6000,Irish Whiskey,DF Spain,1,Standard,1/1/97 12:00:00 AM
6750,Irish Whiskey,DF Spain,1,Standard,1/1/98 12:00:00 AM
5200,Irish Whiskey,DF Spain,1,Standard,1/1/99 12:00:00 AM
5850,Irish Whiskey,DF Spain,1,Standard,1/1/00 12:00:00 AM
7000,Irish Whiskey,DF Spain,1,Standard,1/1/01 12:00:00 AM
4700,Irish Whiskey,DF Spain,1,Standard,1/1/02 12:00:00 AM
8250,Irish Whiskey,DF Spain,1,Standard,1/1/03 12:00:00 AM
10250,Irish Whiskey,DF Spain,1,Standard,1/1/04 12:00:00 AM
11525,Irish Whiskey,DF Spain,1,Standard,1/1/05 12:00:00 AM
12500,Irish Whiskey,DF Spain,1,Standard,1/1/06 12:00:00 AM
13475,Irish Whiskey,DF Spain,1,Standard,1/1/07 12:00:00 AM
15275,Irish Whiskey,DF Spain,1,Standard,1/1/08 12:00:00 AM
13500,Irish Whiskey,DF Spain,1,Standard,1/1/09 12:00:00 AM
13900,Irish Whiskey,DF Spain,1,Standard,1/1/10 12:00:00 AM
16925,Irish Whiskey,DF Spain,1,Standard,1/1/11 12:00:00 AM
12300,Irish Whiskey,DF Spain,1,Standard,1/1/12 12:00:00 AM
12100,Irish Whiskey,DF Spain,1,Standard,1/1/13 12:00:00 AM
12125,Irish Whiskey,DF Spain,1,Standard,1/1/14 12:00:00 AM
13085,Irish Whiskey,DF Spain,1,Standard,1/1/15 12:00:00 AM
14985,Irish Whiskey,DF Spain,1,Standard,1/1/16 12:00:00 AM
3500,Irish Whiskey,Switzerland,1,Standard,1/1/90 12:00:00 AM
3500,Irish Whiskey,Switzerland,1,Standard,1/1/91 12:00:00 AM
3500,Irish Whiskey,Switzerland,1,Standard,1/1/92 12:00:00 AM
3000,Irish Whiskey,Switzerland,1,Standard,1/1/93 12:00:00 AM
4500,Irish Whiskey,Switzerland,1,Standard,1/1/94 12:00:00 AM
4250,Irish Whiskey,Switzerland,1,Standard,1/1/95 12:00:00 AM
4500,Irish Whiskey,Switzerland,1,Standard,1/1/96 12:00:00 AM
3500,Irish Whiskey,Switzerland,1,Standard,1/1/97 12:00:00 AM
4000,Irish Whiskey,Switzerland,1,Standard,1/1/98 12:00:00 AM
5450,Irish Whiskey,Switzerland,1,Standard,1/1/99 12:00:00 AM
5700,Irish Whiskey,Switzerland,1,Standard,1/1/00 12:00:00 AM
6700,Irish Whiskey,Switzerland,1,Standard,1/1/01 12:00:00 AM
6800,Irish Whiskey,Switzerland,1,Standard,1/1/02 12:00:00 AM
7500,Irish Whiskey,Switzerland,1,Standard,1/1/03 12:00:00 AM
7500,Irish Whiskey,Switzerland,1,Standard,1/1/04 12:00:00 AM
7250,Irish Whiskey,Switzerland,1,Standard,1/1/05 12:00:00 AM
7250,Irish Whiskey,Switzerland,1,Standard,1/1/06 12:00:00 AM
7500,Irish Whiskey,Switzerland,1,Standard,1/1/07 12:00:00 AM
9250,Irish Whiskey,Switzerland,1,Standard,1/1/08 12:00:00 AM
9050,Irish Whiskey,Switzerland,1,Standard,1/1/09 12:00:00 AM
9200,Irish Whiskey,Switzerland,1,Standard,1/1/10 12:00:00 AM
9950,Irish Whiskey,Switzerland,1,Standard,1/1/11 12:00:00 AM
9850,Irish Whiskey,Switzerland,1,Standard,1/1/12 12:00:00 AM
9600,Irish Whiskey,Switzerland,1,Standard,1/1/13 12:00:00 AM
11200,Irish Whiskey,Switzerland,1,Standard,1/1/14 12:00:00 AM
11250,Irish Whiskey,Switzerland,1,Standard,1/1/15 12:00:00 AM
14600,Irish Whiskey,Switzerland,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/90 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/91 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/92 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/93 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/94 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/95 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/96 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/97 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/98 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/99 12:00:00 AM
,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/00 12:00:00 AM
2725,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/01 12:00:00 AM
1025,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/02 12:00:00 AM
935,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/03 12:00:00 AM
1000,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/04 12:00:00 AM
1250,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/05 12:00:00 AM
1600,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/06 12:00:00 AM
2150,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/07 12:00:00 AM
2900,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/08 12:00:00 AM
3100,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/09 12:00:00 AM
5250,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/10 12:00:00 AM
8900,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/11 12:00:00 AM
9650,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/12 12:00:00 AM
10490,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/13 12:00:00 AM
13575,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/14 12:00:00 AM
14000,Irish Whiskey,DF Rest of Central & Eastern Europe,1,Standard,1/1/15 12:00:00 AM
