Cases,Category,Country,Number of Records,Quality,Year
365250,Irish Whiskey,France,1,Standard,1/1/12 12:00:00 AM
364000,Irish Whiskey,France,1,Standard,1/1/13 12:00:00 AM
364000,Irish Whiskey,France,1,Standard,1/1/14 12:00:00 AM
358250,Irish Whiskey,France,1,Standard,1/1/15 12:00:00 AM
345250,Irish Whiskey,France,1,Standard,1/1/16 12:00:00 AM
7000,Irish Whiskey,South Africa,1,Standard,1/1/90 12:00:00 AM
6500,Irish Whiskey,South Africa,1,Standard,1/1/91 12:00:00 AM
7000,Irish Whiskey,South Africa,1,Standard,1/1/92 12:00:00 AM
8000,Irish Whiskey,South Africa,1,Standard,1/1/93 12:00:00 AM
9500,Irish Whiskey,South Africa,1,Standard,1/1/94 12:00:00 AM
11500,Irish Whiskey,South Africa,1,Standard,1/1/95 12:00:00 AM
20500,Irish Whiskey,South Africa,1,Standard,1/1/96 12:00:00 AM
24750,Irish Whiskey,South Africa,1,Standard,1/1/97 12:00:00 AM
26250,Irish Whiskey,South Africa,1,Standard,1/1/98 12:00:00 AM
29500,Irish Whiskey,South Africa,1,Standard,1/1/99 12:00:00 AM
30250,Irish Whiskey,South Africa,1,Standard,1/1/00 12:00:00 AM
34000,Irish Whiskey,South Africa,1,Standard,1/1/01 12:00:00 AM
36500,Irish Whiskey,South Africa,1,Standard,1/1/02 12:00:00 AM
40500,Irish Whiskey,South Africa,1,Standard,1/1/03 12:00:00 AM
62000,Irish Whiskey,South Africa,1,Standard,1/1/04 12:00:00 AM
87500,Irish Whiskey,South Africa,1,Standard,1/1/05 12:00:00 AM
131000,Irish Whiskey,South Africa,1,Standard,1/1/06 12:00:00 AM
168000,Irish Whiskey,South Africa,1,Standard,1/1/07 12:00:00 AM
195000,Irish Whiskey,South Africa,1,Standard,1/1/08 12:00:00 AM
200500,Irish Whiskey,South Africa,1,Standard,1/1/09 12:00:00 AM
208000,Irish Whiskey,South Africa,1,Standard,1/1/10 12:00:00 AM
209500,Irish Whiskey,South Africa,1,Standard,1/1/11 12:00:00 AM
211250,Irish Whiskey,South Africa,1,Standard,1/1/12 12:00:00 AM
229000,Irish Whiskey,South Africa,1,Standard,1/1/13 12:00:00 AM
243750,Irish Whiskey,South Africa,1,Standard,1/1/14 12:00:00 AM
278750,Irish Whiskey,South Africa,1,Standard,1/1/15 12:00:00 AM
308250,Irish Whiskey,South Africa,1,Standard,1/1/16 12:00:00 AM
,Irish Whiskey,Russia,1,Standard,1/1/90 12:00:00 AM
750,Irish Whiskey,Russia,1,Standard,1/1/91 12:00:00 AM
1250,Irish Whiskey,Russia,1,Standard,1/1/92 12:00:00 AM
2750,Irish Whiskey,Russia,1,Standard,1/1/93 12:00:00 AM
3500,Irish Whiskey,Russia,1,Standard,1/1/94 12:00:00 AM
5000,Irish Whiskey,Russia,1,Standard,1/1/95 12:00:00 AM
6000,Irish Whiskey,Russia,1,Standard,1/1/96 12:00:00 AM
