"Fertility rates by age and time"

" ","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"28 years",131.2,130.8,132.1,121.5,116.4,119.8,114.8,116.4,108.6,111.6,114.0,113.2,118.8,121.9,125.2,130.0,137.9,140.7,142.0,146.6,147.0,151.0,150.8,144.9,147.3,142.7,137.2,140.4,139.0,134.5,136.2,138.6,136.4,140.9,136.9,138.9,132.0,138.1,123.8,123.8,115.8,118.9,121.4,125.9,123.3,117.3,119.2,118.6,120.0,105.6
"29 years",113.6,111.0,116.4,105.8,103.4,105.8,107.4,103.2,93.9,102.3,98.8,102.1,110.3,114.4,117.9,127.1,130.5,138.4,140.0,148.2,145.8,147.6,150.2,146.0,145.3,140.9,143.9,147.5,147.8,141.3,146.7,148.5,149.8,150.2,149.8,146.5,145.5,149.2,136.9,138.6,129.2,131.7,135.0,142.4,138.1,138.0,132.2,134.9,136.7,122.9
"30 years",98.3,95.3,95.7,90.9,86.1,90.9,87.8,87.2,85.1,87.4,89.1,91.9,93.4,102.2,107.6,113.5,118.9,126.3,124.3,133.3,134.5,142.8,141.6,136.4,140.0,142.0,146.0,147.6,143.8,142.9,145.8,148.6,155.1,157.4,155.0,156.6,154.7,153.8,141.1,141.0,138.5,138.0,140.3,143.8,146.9,140.6,137.8,139.6,142.9,132.5
"31 years",83.4,84.1,81.1,74.7,72.7,71.9,74.2,70.8,68.9,74.1,73.4,78.0,80.3,90.8,90.3,99.6,104.8,111.1,113.6,127.4,126.4,130.9,130.4,131.2,131.6,134.0,136.9,141.8,136.5,135.6,141.0,147.6,145.6,155.4,149.7,151.7,149.0,151.5,145.7,140.3,138.5,135.9,141.1,147.3,142.0,140.9,138.7,143.4,146.3,132.5
"32 years",69.6,66.1,66.1,61.4,59.3,61.2,59.3,60.0,56.2,58.3,59.4,64.4,71.1,74.1,79.4,83.0,90.3,95.9,98.1,105.6,109.1,114.5,118.0,114.7,118.0,115.0,117.9,128.0,126.7,125.8,131.3,132.9,139.5,143.7,140.5,145.2,146.2,146.0,134.2,134.4,134.0,132.0,136.1,139.6,135.8,138.5,139.8,137.2,141.8,130.8
"33 years",56.4,55.1,55.5,49.2,47.7,46.4,47.7,48.1,46.3,47.8,48.4,50.7,58.8,59.9,63.6,67.6,74.7,76.1,81.4,90.9,92.4,99.1,101.0,100.2,101.0,99.6,103.9,107.3,106.9,112.0,115.9,121.1,123.0,124.7,125.3,130.2,123.1,130.3,123.8,122.4,118.2,120.2,125.3,125.8,124.5,125.6,125.3,122.6,130.9,116.6
"34 years",46.5,44.1,43.5,40.6,36.9,39.3,36.7,37.1,35.5,38.0,39.2,41.8,45.6,47.6,51.1,57.3,61.5,63.9,66.9,75.0,74.3,82.0,86.5,81.7,87.0,89.9,87.8,92.9,91.5,94.1,98.2,104.7,103.5,106.7,112.0,115.4,111.5,116.6,111.3,107.6,105.5,105.9,107.2,109.5,110.5,113.9,112.2,110.3,116.1,103.1
"35 years",37.3,35.4,33.6,33.6,31.0,28.5,30.2,28.6,26.8,28.4,29.1,31.8,34.2,38.8,40.2,43.9,48.5,51.0,56.0,55.7,61.1,66.3,69.8,68.5,68.8,70.0,73.5,75.8,73.9,77.2,81.8,87.1,87.5,91.4,93.7,97.1,93.6,96.4,91.1,91.0,87.7,93.8,92.4,98.9,95.9,99.1,97.2,98.3,102.3,92.4
"36 years",30.0,29.2,24.1,26.8,22.4,23.6,23.0,22.6,21.3,22.4,21.9,25.8,27.1,28.4,31.5,35.1,37.2,38.9,41.5,45.2,49.3,53.5,53.5,53.9,56.9,57.0,60.7,58.8,61.4,63.5,66.3,67.5,72.4,72.4,76.1,79.8,76.9,82.8,75.4,75.9,71.4,78.0,77.8,82.3,82.7,80.7,81.5,83.0,90.7,78.6
"37 years",22.0,21.9,20.3,19.2,18.7,19.6,17.5,17.2,16.8,17.2,16.0,18.1,20.3,22.2,24.1,24.1,27.5,29.1,32.4,36.0,37.2,40.7,42.4,41.6,44.9,43.3,47.1,48.7,47.6,48.0,51.0,51.4,55.2,56.4,61.7,61.6,61.3,63.7,62.2,60.9,60.9,60.9,63.5,67.9,65.5,65.2,66.5,66.9,70.4,65.3
"38 years",17.9,17.4,15.0,14.1,12.5,13.7,12.3,12.3,12.4,12.0,11.3,13.9,14.2,15.6,17.1,18.0,19.4,22.9,24.1,26.5,26.0,30.0,32.3,31.8,33.1,34.4,34.5,36.0,35.2,36.9,39.4,41.3,40.8,44.0,45.5,48.0,47.4,48.8,47.7,48.8,47.8,48.8,45.9,54.4,51.8,54.1,53.8,52.6,56.8,51.0
"39 years",12.7,11.5,11.6,10.5,8.9,8.8,9.5,9.0,8.3,8.0,8.6,9.3,10.1,11.5,12.4,13.9,14.1,15.7,16.9,18.2,19.0,20.4,22.5,22.2,24.5,25.1,25.5,25.8,26.6,28.2,27.9,28.3,29.8,31.8,34.4,34.3,35.1,37.1,37.2,36.6,36.6,37.0,40.7,40.4,39.9,40.7,40.7,41.9,46.3,39.9
"40 years",9.3,9.0,8.0,7.5,6.7,6.8,6.6,7.1,5.1,5.5,6.6,6.8,6.8,7.5,8.3,8.8,9.9,10.6,11.4,11.9,13.3,13.6,14.7,15.4,16.0,16.0,17.4,18.2,18.7,19.6,19.8,19.9,21.3,22.1,23.1,26.4,27.0,27.7,26.8,26.9,26.9,28.8,28.5,29.6,30.5,32.1,30.3,32.0,34.0,29.6
"41 years",6.2,5.7,5.4,5.4,4.2,3.6,4.4,4.4,4.3,4.1,3.8,3.8,5.0,5.4,5.2,5.8,6.1,7.0,7.8,7.8,8.0,8.8,9.8,10.1,10.6,10.1,10.7,10.9,12.1,12.5,13.0,13.1,13.3,15.9,16.0,16.7,17.9,16.7,17.9,17.0,17.5,18.8,18.7,20.2,22.1,22.3,20.7,20.8,23.4,22.7
"42 years",4.1,4.3,3.8,3.2,2.9,2.5,2.4,2.3,2.2,1.9,2.1,2.3,3.0,3.3,2.9,3.0,3.8,4.0,4.4,4.9,5.7,5.1,5.1,5.8,5.7,6.0,6.1,7.1,6.8,6.9,7.9,7.3,9.5,9.1,8.8,9.9,10.1,10.2,10.3,11.3,12.0,11.5,11.9,12.3,12.3,13.8,13.5,13.7,14.7,13.7
